Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
"Solvay Chemicals, Inc. - Longview",2014,Chemicals,Other Chemicals,325180,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,49626,0,49626,0,0,0,0,0,0,,2,"(46.137218, -122.982847)","(46.137218, -122.982847)",46.137218,-122.982847,POINT (-122.982847 46.137218),2978,3,26
Northwest Pipeline Roosevelt C/S - Bickleton,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,22628,0,19805,2812,11,0,0,0,0,,1,"(45.849504, -120.08083)","(45.849504, -120.08083)",45.849504,-120.08083,POINT (-120.08083 45.849504),3195,3,20
Kettle Falls Generating Station - Kettle Falls,2013,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,422643,407568,4007,6404,4664,0,0,0,0,,3,"(48.620335, -118.110841)","(48.620335, -118.110841)",48.620335,-118.110841,POINT (-118.110841 48.620335),2741,5,10
Northwest Pipeline C/S - Chehalis,2020,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,3550,0,2628,921,1,0,0,0,0,,1,"(46.533325, -122.87373)","(46.533325, -122.87373)",46.533325,-122.87373,POINT (-122.87373 46.533325),3196,3,27
Hampton Lumber Mills Washington Inc. - Randle,2020,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,67883,66989,0,129,766,0,0,0,0,,2,"(46.533743, -121.917906)","(46.533743, -121.917906)",46.533743,-121.917906,POINT (-121.917906 46.533743),3196,3,27
Goodrich Corporation - Spokane,2020,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Goodrich Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,26209,0,26178,13,18,0,0,0,0,,2,"(47.583604, -117.568511)","(47.583604, -117.568511)",47.583604,-117.568511,POINT (-117.568511 47.583604),3214,5,9
The Boeing Company - Renton,2014,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Renton,King,Puget Sound Clean Air Agency,18512,0,18492,9,11,0,0,0,0,,1,"(47.498257, -122.211346)","(47.498257, -122.211346)",47.498257,-122.211346,POINT (-122.211346 47.498257),3009,9,38
University of Washington Seattle Campus - Seattle,2021,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Seattle,King,Puget Sound Clean Air Agency,89624,0,89531,42,51,0,0,0,0,,2,"(47.653614, -122.303608)","(47.653614, -122.303608)",47.653614,-122.303608,POINT (-122.303608 47.653614),3009,7,4
LRI Landfill - Graham,2013,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,49567,0,0,49567,0,0,0,0,0,,2,"(46.972405, -122.292799)","(46.972405, -122.292799)",46.972405,-122.292799,POINT (-122.292799 46.972405),3210,8,2
Riverside Feeders SFL - Kennewick,2016,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,24933,0,2661,1727,20545,0,0,0,0,,1,"(45.991872, -119.136497)","(45.991872, -119.136497)",45.991872,-119.136497,POINT (-119.136497 45.991872),2955,4,23
Northwest Hardwoods Inc. - Mount Vernon,2015,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Mount Vernon,Skagit,Northwest Clean Air Agency,11648,7714,3827,17,90,0,0,0,0,,1,"(48.451642, -122.443028)","(48.451642, -122.443028)",48.451642,-122.443028,POINT (-122.443028 48.451642),3212,2,16
